,station,sign,frontiere_bas,frontiere_haut
77,17027,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']","['[1100111]', '[1011101]', '[1110011]', '[1101011]', '[1101101]', '[1010111]', '[1001111]', '[1110101]', '[1011011]']"
78,17033,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
79,17125,15,"['[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
80,18006,15,"['[1010000]', '[0011100]', '[1100000]', '[0101100]', '[1000010]', '[0001110]', '[0100010]', '[0010010]', '[1001100]', '[0110000]']",['[1111111]']
81,18017,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
82,18023,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
83,18032,15,"['[0000101]', '[0001000]', '[1000000]', '[0100000]', '[0010000]']",['[1111111]']
84,18046,15,"['[1010000]', '[1100000]', '[1000010]', '[0100010]', '[0010010]', '[0100100]', '[0110000]']",['[1111111]']
85,18134,15,"['[0011000]', '[0001010]', '[0100100]', '[1010000]', '[0100010]', '[0001100]', '[1000100]', '[0010010]', '[0101000]', '[1100000]', '[1000010]', '[1001000]', '[0010100]', '[0000110]', '[0110000]']",['[1111110]']
86,19026,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
87,19036,15,"['[0000101]', '[0000011]', '[0001000]', '[0000110]', '[1000000]', '[0100000]', '[0010000]']",['[1111111]']
88,19037,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
89,19039,15,"['[0000101]', '[0000011]', '[0011000]', '[0010001]', '[0000110]', '[0001001]', '[0010010]', '[1000000]', '[0100000]', '[0001010]', '[0001100]', '[0010100]']",['[1111111]']
90,19041,15,"['[1010000]', '[1100000]', '[1001000]', '[0011000]', '[1000010]', '[0100010]', '[0010010]', '[0001010]', '[0101000]', '[0110000]']",['[1111111]']
91,19043,15,"['[0000010]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
92,19121,15,"['[0000011]', '[0011000]', '[0010001]', '[0100001]', '[0001001]', '[0100010]', '[0010010]', '[0000100]', '[0001010]', '[0101000]', '[0110000]']",['[1111111]']
93,19202,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
94,19210,15,"['[0000101]', '[0000011]', '[0001000]', '[1000100]', '[1000010]', '[0000110]', '[1000001]', '[0100000]', '[0010000]']",['[1111111]']
95,20001,15,"['[1010000]', '[1001000]', '[0011000]', '[1100001]', '[0000100]']",['[1111111]']
96,20002,15,"['[0100110]', '[1010000]', '[0000101]', '[1001000]', '[0011000]', '[0010001]', '[1000100]', '[0110010]', '[0001001]', '[0100011]', '[1000001]', '[0101010]', '[1100010]', '[0001100]', '[0010100]']",['[1111111]']
97,20004,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']","['[1111101]', '[1111011]']"
98,20007,15,"['[1010000]', '[1100000]', '[1001000]', '[0011000]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[0010010]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
99,20008,15,"['[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
