,station,sign,station_code,latitude,longitude
101,20013,15,20013,48.85533710742046,2.399770368764629
102,20014,15,20014,48.856077415056,2.3948693275452
103,20019,15,20019,48.877321579493575,2.4083782732486725
104,20021,15,20021,48.86254398506782,2.403290458023548
105,20022,15,20022,48.86470713912298,2.408344637349607
106,20024,15,20024,48.86429569616588,2.398228667282044
107,20029,15,20029,48.8780992764359,2.41104629853209
108,20033,15,20033,48.86798303359366,2.3851405311143026
109,20035,15,20035,48.8693268535238,2.395084574818611
110,20036,15,20036,48.870682633845,2.3989596023316
111,20039,15,20039,48.868831082877,2.3809862136841
112,20042,15,20042,48.87202880542,2.3918598091484
113,20047,15,20047,48.847238029966,2.4107042336225
114,20103,15,20103,48.86803439043193,2.411030612453627
115,20104,15,20104,48.86216198070008,2.41112578185621
116,20106,15,20106,48.865302324275,2.3990669846535
117,20113,15,20113,48.87195626635528,2.384981390278095
118,20117,15,20117,48.87266656122256,2.407912909984589
119,20131,15,20131,48.859358523593,2.3896131366845
120,20132,15,20132,48.852566752033766,2.403928068708116
121,20137,15,20137,48.87330497045532,2.4014145880937576
122,20142,15,20142,48.86413050966805,2.39164982067019
123,20143,15,20143,48.871031137596,2.379056852114
124,20202,15,20202,48.8679385,2.4003649
125,20205,15,20205,48.870493041975,2.404957212224
126,21017,15,21017,48.833288650307,2.2441747784615
127,21213,15,21213,48.815007,2.328318
128,21328,15,21328,48.816376985087,2.2670380088932
129,21401,15,21401,48.800612,2.262151
130,21706,15,21706,48.8232579,2.2965213
131,22402,15,22402,48.821475594736775,2.3026576638221745
132,22603,15,22603,48.79382498863652,2.2731140430551027
133,22604,15,22604,48.790844603480856,2.287145593031945
134,23105,15,23105,48.821443218278,2.2150785306885
135,23203,15,23203,48.798666226364,2.2833752789972
136,23702,15,23702,48.80887149094033,2.188134044408798
137,24101,15,24101,48.826073335699,2.1894485725692
138,25010,15,25010,48.858446,2.192077
139,31016,15,31016,48.86223916006812,2.4435862898826604
140,31017,15,31017,48.8622179854695,2.45533436536789
141,31019,15,31019,48.85493692155721,2.436049282550812
142,31023,15,31023,48.86492782016328,2.442958317697048
143,31024,15,31024,48.86785,2.446748
